#X,#Y,#パネル名,#パネルの種類,#情報
930,80,EditWindowBase,SHOW,0
955,215,AffectObject_Monster,CHANGE_LIST,SELECT_OBJ-*
1045,215,AffectObject_Trap,CHANGE_LIST,SELECT_OBJ-*
1135,215,AffectObject_Block,CHANGE_LIST,SELECT_OBJ-*
955,265,LeftArrow,PAGE_CHANGE,0
1135,265,RightArrow,PAGE_CHANGE,0
990,320,ObjectFrame,SHOW,0
1060,320,ObjectFrame,SHOW,0
1130,320,ObjectFrame,SHOW,0
990,385,ObjectFrame,SHOW,0
1060,385,ObjectFrame,SHOW,0
1130,385,ObjectFrame,SHOW,0
990,450,ObjectFrame,SHOW,0
1060,450,ObjectFrame,SHOW,0
1130,450,ObjectFrame,SHOW,0
997,327,SettingObject_1,SELECT_OBJ,0
1067,327,SettingObject_2,SELECT_OBJ,0
1137,327,SettingObject_3,SELECT_OBJ,0
997,392,SettingObject_4,SELECT_OBJ,0
1067,392,SettingObject_5,SELECT_OBJ,0
1137,392,SettingObject_6,SELECT_OBJ,0
997,457,SettingObject_7,SELECT_OBJ,0
1067,457,SettingObject_8,SELECT_OBJ,0
1137,457,SettingObject_9,SELECT_OBJ,0
